method,dataset,acc,prec,rec,f1,auc,tp,tn,fp,fn,fnr,fpr,tnr,rec_at_fpr_1,rec_at_fpr_01,latency_avg_ms,latency_p99_ms,qps,train_time_sec,model_size_mb,feature_dim,notes
mgsir_xgb,dataset1,0.9972,0.9996,0.9929,0.9962,0.9996,2248,3904,1,16,0.0071,0.0003,0.9997,0.9973,0.9938,0.0880,0.1632,11365.65,0.16,0.16,23,
bow_xgb,dataset1,0.9942,0.9978,0.9863,0.9920,0.9973,2233,3900,5,31,0.0137,0.0013,0.9987,0.9876,0.9853,0.1056,0.1850,9468.22,8.24,0.13,5000,
tfidf_xgb,dataset1,0.9937,0.9964,0.9863,0.9913,0.9975,2233,3897,8,31,0.0137,0.0020,0.9980,0.9876,0.9850,0.2084,0.2893,4798.73,20.76,0.14,13568,
w2v_xgb,dataset1,0.9929,0.9929,0.9876,0.9903,0.9983,2236,3889,16,28,0.0124,0.0041,0.9959,0.9912,0.9549,0.0831,0.1887,12028.66,1.87,0.18,200,
fasttext_xgb,dataset1,0.9945,0.9978,0.9872,0.9925,0.9990,2235,3900,5,29,0.0128,0.0013,0.9987,0.9907,0.9837,0.1034,0.2478,9669.44,2.20,0.18,200,
bert_xgb,dataset1,0.9948,0.9987,0.9872,0.9929,0.9997,2235,3902,3,29,0.0128,0.0008,0.9992,0.9943,0.9890,25.7292,33.3729,38.87,6.80,417.89,768,
textcnn,dataset1,0.9951,0.9978,0.9890,0.9933,0.9982,2239,3900,5,25,0.0110,0.0013,0.9987,0.9912,0.9890,17.0885,19.4484,58.52,337.44,8.60,200,TextCNN Baseline
char_cnn,dataset1,0.9984,0.9978,0.9978,0.9978,0.9997,2259,3900,5,5,0.0022,0.0013,0.9987,0.9982,0.9978,21.1861,23.7254,47.20,1755.66,3.14,1000,Char-CNN Baseline
cnn_bilstm,dataset1,0.9938,0.9934,0.9898,0.9916,0.9978,2241,3890,15,23,0.0102,0.0038,0.9962,0.9903,0.9837,25.5517,27.6197,39.14,1982.61,22.86,200,Deep Learning Baseline
lstm_attn,dataset1,0.9899,0.9893,0.9832,0.9863,0.9950,2226,3881,24,38,0.0168,0.0061,0.9939,0.9845,0.9739,22.9820,26.3569,43.51,1485.96,8.67,200,LSTM+Attention Baseline
mgsir_xgb_L1,dataset1,0.9930,0.9960,0.9850,0.9905,0.9982,2230,3896,9,34,0.0150,0.0023,0.9977,0.9920,0.9832,0.0916,0.1957,10911.95,0.11,0.22,6,
mgsir_xgb_L1_L2,dataset1,0.9961,0.9991,0.9903,0.9947,0.9989,2242,3903,2,22,0.0097,0.0005,0.9995,0.9960,0.9903,0.0858,0.1651,11648.40,0.14,0.18,15,
mgsir_xgb_L1_L2_L3,dataset1,0.9969,0.9987,0.9929,0.9958,0.9996,2248,3902,3,16,0.0071,0.0008,0.9992,0.9973,0.9934,0.0871,0.1649,11475.34,0.16,0.16,21,
mgsir_xgb_Full,dataset1,0.9972,0.9996,0.9929,0.9962,0.9996,2248,3904,1,16,0.0071,0.0003,0.9997,0.9973,0.9938,0.0864,0.1623,11567.66,0.16,0.16,23,
